FrameNumber,FrametimeMs,ImageIndex,PresentMode
1,0.470439,1,2
2,0.284399,0,2
3,3.33221,2,2
4,3.55008,1,2
5,4.10628,0,2
6,4.09968,2,2
7,4.24637,1,2
8,4.13257,0,2
9,4.1057,2,2
10,4.14697,1,2
11,4.25771,0,2
12,4.18688,2,2
13,4.08296,1,2
14,4.14747,0,2
15,4.24811,2,2
16,4.15196,1,2
17,4.15648,0,2
18,4.10658,2,2
19,4.26784,1,2
20,4.15498,0,2
21,4.13793,2,2
22,4.18071,1,2
23,4.17934,0,2
24,4.07991,2,2
25,4.19263,1,2
26,4.22963,0,2
27,4.14566,2,2
28,4.14001,1,2
29,4.16646,0,2
30,4.23492,2,2
31,4.17478,1,2
32,4.05439,0,2
33,4.14666,2,2
34,4.23195,1,2
35,4.16962,0,2
36,4.10029,2,2
37,4.16467,1,2
38,4.25052,0,2
39,4.15559,2,2
40,4.08607,1,2
41,4.17355,0,2
42,4.25249,2,2
43,4.17339,1,2
44,4.07308,0,2
45,4.17166,2,2
46,4.15294,1,2
47,4.20222,0,2
48,4.15264,2,2
49,4.15553,1,2
50,4.16901,0,2
51,4.19273,2,2
52,4.13781,1,2
53,4.18715,0,2
54,4.14745,2,2
55,4.16606,1,2
56,4.20163,0,2
57,4.13824,2,2
58,4.16851,1,2
59,4.15728,0,2
60,4.17088,2,2
61,4.2213,1,2
62,4.14315,0,2
63,4.15136,2,2
64,4.1611,1,2
65,4.55302,0,2
66,3.84,2,2
67,4.13337,1,2
68,4.14355,0,2
69,4.22968,2,2
70,4.12156,1,2
71,4.15439,0,2
72,4.22637,2,2
73,4.15576,1,2
74,4.11401,0,2
75,4.16014,2,2
76,4.20065,1,2
77,4.14315,0,2
78,4.16751,2,2
79,4.18374,1,2
80,4.16404,0,2
81,4.15531,2,2
82,4.15938,1,2
83,4.16948,0,2
84,4.16359,2,2
85,4.18053,1,2
86,4.16472,0,2
87,4.2261,2,2
88,4.10596,1,2
89,4.19039,0,2
90,4.21102,2,2
91,4.14574,1,2
92,4.12941,0,2
93,4.14619,2,2
94,4.17456,1,2
95,4.1644,0,2
96,4.15967,2,2
97,4.17883,1,2
98,4.18284,0,2
99,4.14459,2,2
100,4.1903,1,2
101,4.14238,0,2
102,4.17482,2,2
103,4.17737,1,2
104,4.14975,0,2
105,4.16699,2,2
106,4.16432,1,2
107,4.17497,0,2
108,4.16675,2,2
109,4.19726,1,2
110,4.13072,0,2
111,4.17026,2,2
112,4.1594,1,2
113,4.18602,0,2
114,4.15806,2,2
115,4.17264,1,2
116,4.15041,0,2
117,4.25146,2,2
118,4.08996,1,2
119,4.1675,0,2
120,4.17757,2,2
121,4.17438,1,2
122,4.17589,0,2
123,4.15025,2,2
124,4.16316,1,2
125,4.16353,0,2
126,4.16666,2,2
127,4.16298,1,2
128,4.16343,0,2
129,4.16518,2,2
130,4.16963,1,2
131,4.16789,0,2
132,4.17086,2,2
133,4.17038,1,2
134,4.1657,0,2
135,4.17291,2,2
136,4.17101,1,2
137,4.14665,0,2
138,4.17695,2,2
139,4.17329,1,2
140,4.15168,0,2
141,4.19544,2,2
142,4.14889,1,2
143,4.16504,0,2
144,4.15992,2,2
145,4.20502,1,2
146,4.12293,0,2
147,4.17726,2,2
148,4.15841,1,2
149,4.17057,0,2
150,4.23132,2,2
151,4.13889,1,2
152,4.11768,0,2
153,4.1778,2,2
154,4.16936,1,2
155,4.16121,0,2
156,4.21353,2,2
157,4.16436,1,2
158,4.1358,0,2
159,4.23316,2,2
160,4.0896,1,2
161,4.18136,0,2
162,4.16541,2,2
163,4.17048,1,2
164,4.14409,0,2
165,4.18332,2,2
166,4.18798,1,2
167,4.15277,0,2
168,4.15759,2,2
169,4.16748,1,2
170,4.16294,0,2
171,4.17579,2,2
172,4.16266,1,2
173,4.16615,0,2
174,4.21795,2,2
175,4.13699,1,2
176,4.15988,0,2
177,4.15223,2,2
178,4.15527,1,2
179,4.21434,0,2
180,4.2025,2,2
181,4.12463,1,2
182,4.15521,0,2
183,4.15867,2,2
184,4.17616,1,2
185,4.14345,0,2
186,4.22428,2,2
187,4.1612,1,2
188,4.12817,0,2
189,4.15078,2,2
190,4.18774,1,2
191,4.16311,0,2
192,4.18414,2,2
193,4.12875,1,2
194,4.20138,0,2
195,4.17284,2,2
196,4.13164,1,2
197,4.14588,0,2
198,4.19194,2,2
199,4.18419,1,2
200,4.16592,0,2
201,4.1542,2,2
202,4.16423,1,2
203,4.17319,0,2
204,4.18331,2,2
205,4.1537,1,2
206,4.16787,0,2
207,4.159,2,2
208,4.19123,1,2
209,4.14336,0,2
210,4.21965,2,2
211,4.17207,1,2
212,4.1167,0,2
213,4.16733,2,2
214,4.17863,1,2
215,4.14031,0,2
216,4.2281,2,2
217,4.12315,1,2
218,4.14305,0,2
219,4.20403,2,2
220,4.13257,1,2
221,4.15834,0,2
222,4.18159,2,2
223,4.17924,1,2
224,4.15715,0,2
225,4.16371,2,2
226,4.19395,1,2
227,4.16254,0,2
228,4.13322,2,2
229,4.2074,1,2
230,4.17765,0,2
231,4.14011,2,2
232,4.15201,1,2
233,4.15073,0,2
234,4.20101,2,2
235,4.13379,1,2
236,4.16093,0,2
237,5.88379,2,2
238,2.45873,1,2
239,4.15417,0,2
240,4.22862,2,2
241,4.12152,1,2
242,4.18155,0,2
243,4.15147,2,2
244,4.15021,1,2
