FrameNumber,FrametimeMs,ImageIndex,PresentMode
289,4.19551,1,2
290,4.13105,0,2
291,4.0968,2,2
292,4.20586,1,2
293,4.19496,0,2
294,4.17392,2,2
295,4.16326,1,2
296,4.16275,0,2
297,4.14269,2,2
298,4.19086,1,2
299,4.15772,0,2
300,4.16265,2,2
301,4.13296,1,2
302,4.16217,0,2
303,4.16992,2,2
304,4.16553,1,2
305,4.22161,0,2
306,4.14524,2,2
307,4.13408,1,2
308,4.17409,0,2
309,4.13909,2,2
310,4.21832,1,2
311,4.12585,0,2
312,4.2453,2,2
313,4.09057,1,2
314,4.22464,0,2
315,4.1046,2,2
316,4.21838,1,2
317,4.13438,0,2
318,4.15192,2,2
319,4.16843,1,2
320,4.16802,0,2
321,4.16947,2,2
322,4.18549,1,2
323,4.1921,0,2
324,4.13056,2,2
325,4.22988,1,2
326,4.0841,0,2
327,4.17369,2,2
328,4.20826,1,2
329,4.19369,0,2
330,4.09907,2,2
331,4.17413,1,2
332,4.15649,0,2
333,4.17474,2,2
334,4.19782,1,2
335,4.1976,0,2
336,4.16702,2,2
337,4.15009,1,2
338,4.1149,0,2
339,4.18464,2,2
340,4.18811,1,2
341,4.20434,0,2
342,4.16056,2,2
343,4.09721,1,2
344,4.17159,0,2
345,4.16355,2,2
346,4.21651,1,2
347,4.19468,0,2
348,4.17311,2,2
349,4.09397,1,2
350,4.23056,0,2
351,4.11978,2,2
352,4.18286,1,2
353,4.19231,0,2
354,4.17746,2,2
355,4.09187,1,2
356,4.20312,0,2
357,4.12668,2,2
358,4.15731,1,2
359,4.24134,0,2
360,4.16202,2,2
361,4.10512,1,2
362,4.16826,0,2
363,4.16677,2,2
364,4.1685,1,2
365,4.23321,0,2
366,4.15398,2,2
367,4.171,1,2
368,4.1131,0,2
369,4.16164,2,2
370,4.20838,1,2
371,4.18853,0,2
372,4.16874,2,2
373,4.10819,1,2
374,4.16743,0,2
375,4.17399,2,2
376,4.21352,1,2
377,4.15841,0,2
378,4.24811,2,2
379,4.17407,1,2
380,5.84787,0,2
381,2.38909,2,2
382,4.12841,1,2
383,4.16466,0,2
384,4.21172,2,2
385,4.14874,1,2
386,4.1646,0,2
387,4.15134,2,2
388,4.20452,1,2
389,4.15322,0,2
390,4.14248,2,2
391,4.31863,1,2
392,4.11097,0,2
393,4.09964,2,2
394,4.17298,1,2
395,4.13391,0,2
396,4.19576,2,2
397,4.13237,1,2
398,4.1735,0,2
399,4.16067,2,2
400,4.19255,1,2
401,4.2231,0,2
402,4.11037,2,2
403,4.17865,1,2
404,4.14062,0,2
405,4.18923,2,2
406,4.18105,1,2
407,4.18728,0,2
408,4.15209,2,2
409,4.20297,1,2
410,4.14855,0,2
411,4.10882,2,2
412,4.1486,1,2
413,4.19802,0,2
414,4.15876,2,2
415,4.20241,1,2
416,4.13174,0,2
417,4.17089,2,2
418,4.17996,1,2
419,4.1495,0,2
420,4.212,2,2
421,4.09798,1,2
422,4.17136,0,2
423,4.19009,2,2
424,4.15576,1,2
425,4.18439,0,2
426,4.16511,2,2
427,4.16107,1,2
428,4.16338,0,2
429,4.16878,2,2
430,4.19578,1,2
431,4.17048,0,2
432,4.23453,2,2
433,4.06337,1,2
434,4.26337,0,2
435,4.04419,2,2
436,4.23509,1,2
437,4.21126,0,2
438,4.17245,2,2
439,4.05306,1,2
440,4.2777,0,2
441,4.03777,2,2
442,4.18529,1,2
443,4.18052,0,2
444,4.2638,2,2
445,4.03596,1,2
446,4.17197,0,2
447,4.17036,2,2
448,4.19295,1,2
449,4.244,0,2
450,4.17958,2,2
451,4.08085,1,2
452,4.24307,0,2
453,4.11072,2,2
454,4.16534,1,2
455,4.22662,0,2
456,4.052,2,2
457,4.26364,1,2
458,4.17955,0,2
459,4.06927,2,2
460,4.21568,1,2
461,4.21621,0,2
462,4.16364,2,2
463,4.15672,1,2
464,4.19539,0,2
465,4.03408,2,2
466,4.2508,1,2
467,4.21033,0,2
468,4.05064,2,2
469,4.16518,1,2
